Model,mode,Hit@1,Hit@3,MRR,Recall@3,OOD_Accuracy,False_Acceptance_Rate,False_Rejection_Rate,queries,answerable_queries
model_a,retrieval_only,0.6666666666666666,0.9166666666666666,0.794399881164587,0.8138227513227513,1.0,0.08333333333333333,0.1388888888888889,48,36
model_a,end_to_end,0.75,0.7777777777777778,0.7638888888888888,0.6868386243386243,1.0,0.0,0.1388888888888889,48,36
model_b,retrieval_only,0.6111111111111112,0.75,0.7073880234162492,0.6587301587301586,0.8,0.25,0.16666666666666666,48,36
model_b,end_to_end,0.8055555555555556,0.8333333333333334,0.8194444444444444,0.7377645502645502,1.0,0.08333333333333333,0.08333333333333333,48,36
model_c,retrieval_only,0.05555555555555555,0.19444444444444445,0.1831959576605554,0.16666666666666666,0.8,0.4166666666666667,0.2222222222222222,48,36
model_c,end_to_end,0.3333333333333333,0.3611111111111111,0.3472222222222222,0.30952380952380953,1.0,0.16666666666666666,0.1388888888888889,48,36
model_d,retrieval_only,0.7777777777777778,0.8611111111111112,0.8182279899359515,0.7837301587301586,1.0,0.25,0.08333333333333333,48,36
model_d,end_to_end,0.8333333333333334,0.8888888888888888,0.8564814814814814,0.7910052910052909,1.0,0.0,0.05555555555555555,48,36
